index,publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,publisher,units_sold,operating_cost
825,2008,The Painted Man,Peter V. Brett,eng,,4.27,64416.0,Fiction,454.86,272.916,3.99,"Amazon Digital Services,  Inc.",2889.0,181.94400000000002
827,2005,One Shot,Lee Child,eng,,4.2,63335.0,Fiction,340.86,204.516,2.99,Simon and Schuster Digital Sales Inc,2889.0,136.34400000000002
828,2012,The Serpent's Shadow,Rick Riordan,eng,,4.28,82757.0,Fiction,345.42,0.0,3.03,"Amazon Digital Services,  Inc.",2889.0,345.42
829,2008,Duma Key,Stephen King,en-US,Intermediate,3.93,73807.0,Fiction,844.74,506.844,7.41,Macmillan,2889.0,337.896
830,2006,The Shifting Fog,Kate Morton,eng,Intermediate,3.93,69948.0,Fiction,228.0,0.0,2.0,"Amazon Digital Services,  Inc.",2889.0,228.0
832,2006,Proven Guilty,Jim Butcher,eng,,4.41,75133.0,Fiction,778.62,467.172,6.83,Simon and Schuster Digital Sales Inc,2889.0,311.448
833,1864,Ð—Ð°Ð¿Ð¸ÑÐºÐ¸ Ð¸Ð· Ð¿Ð¾Ð´Ð¿Ð¾Ð»ÑŒÑ,"Fyodor Dostoyevsky, Andrew R. MacAndrew, Ben Marcus",eng,,4.17,65900.0,Fiction,910.86,546.516,7.99,Random House LLC,2889.0,364.34400000000005
834,1940,The Heart is a Lonely Hunter,Carson McCullers,eng,Intermediate,3.97,67643.0,Fiction,454.86,0.0,3.99,"Amazon Digital Services,  Inc.",2889.0,454.86
835,2014,The Infinite Sea,Rick Yancey,eng,Intermediate,3.94,78314.0,Fiction,454.86,0.0,3.99,"Amazon Digital Services,  Inc.",2889.0,454.86
836,1958,The Once and Future King,T.H. White,eng,,4.08,76911.0,Non-Fiction,746.7,448.02,6.55,Macmillan,2889.0,298.68000000000006
837,1992,Small Gods,Terry Pratchett,en-GB,,4.27,72588.0,Fiction,1220.4,732.24,10.8,HarperCollins Publishers,2889.0,488.1600000000001
838,1999,"Bud, Not Buddy",Christopher Paul Curtis,eng,Intermediate,3.89,73000.0,Fiction,431.66,258.996,3.82,"Amazon Digital Services,  Inc.",2889.0,172.66400000000004
840,2007,Predictably Irrational: The Hidden Forces that Shape Our Decisions,Dan Ariely,en-US,,4.1,61496.0,Fiction,563.87,0.0,4.99,"Amazon Digital Services,  Inc.",2889.0,563.87
841,2012,Ø§Ù„ÙÙŠÙ„ Ø§Ù„Ø£Ø²Ø±Ù‚,Ø£Ø­Ù…Ø¯ Ù…Ø±Ø§Ø¯,ara,Intermediate,3.8,53187.0,Non-Fiction,1128.87,677.322,9.99,"Amazon Digital Services,  Inc.",2889.0,451.5479999999999
842,1980,The Indian in the Cupboard,Lynne Reid Banks,eng,Intermediate,3.89,77046.0,Fiction,450.87,0.0,3.99,"Amazon Digital Services,  Inc.",2889.0,450.87
843,2012,A Memory of Light,"Robert Jordan, Brandon Sanderson",eng,,4.5,68410.0,Fiction,450.87,0.0,3.99,"Amazon Digital Services,  Inc.",2889.0,450.87
844,2012,Me and Earl and the Dying Girl,Jesse Andrews,en-US,Intermediate,3.58,82270.0,Non-Fiction,1241.87,745.122,10.99,Random House LLC,2889.0,496.74799999999993
845,2010,The Ugly Truth,Jeff Kinney,en-US,,4.16,68701.0,Non-Fiction,111.87,67.122,0.99,"Amazon Digital Services,  Inc.",2889.0,44.748000000000005
847,1998,"The Surgeon of Crowthorne: a tale of murder, madness & the love of words",Simon Winchester,eng,Intermediate,3.84,71411.0,Fiction,450.87,270.522,3.99,Simon and Schuster Digital Sales Inc,2862.0,180.348
848,2002,2nd Chance,"James Patterson, Andrew Gross",eng,,4.01,68834.0,Fiction,1388.77,833.262,12.29,HarperCollins Publishers,2862.0,555.508
849,1986,The Complete Maus,Art Spiegelman,en-GB,,4.53,76785.0,Non-Fiction,111.87,67.122,0.99,"Amazon Digital Services,  Inc.",2862.0,44.748000000000005
850,2001,The Eyre Affair,Jasper Fforde,en-US,Intermediate,3.92,85683.0,Non-Fiction,111.87,67.122,0.99,"Amazon Digital Services,  Inc.",2862.0,44.748000000000005
851,1989,Anne Rice's The Vampire Lestat: The Graphic Novel,"Faye Perozich, Anne Rice, John Bolton, Daerick GrÃ¶ss",en-GB,,4.17,61842.0,Fiction,111.87,0.0,0.99,"Amazon Digital Services,  Inc.",2862.0,111.87
853,1998,The Art of Happiness: A Handbook for Living,"Dalai Lama XIV, Howard C. Cutler",eng,,4.14,61498.0,Non-Fiction,1327.75,796.65,11.75,Random House LLC,2862.0,531.1
